CLIENT_VAT;TIMO_ID;AT_KM;CZ_KM;DE_KM;EE_KM;HU_KM;LT_KM;LV_KM;PL_KM;SE_KM;SK_KM;COMPANY_LP;ADRESS_LP;COD_LP;CITY_LP;LATITUDE_LP;LONGTITUDE_LP;START_LOAD_DATA;START_LOAD_TIME;END_LOAD_DATA;END_LOAD_TIME;COMPANY_DP;ADRESS_DP;COD_DP;CITY_DP;LATITUDE_DP;LONGTITUDE_DP;START_DELIVERY_DATA;START_DELIVERY_TIME;END_DELIVERY_DATA;END_DELIVERY_TIME;VEHICLE_TYPE;BODY_TYPE;LOAD_UNLOAD_METHOD;EPALE;GOODS_TYPE;TEMP_MIN;TEMP_MAX;EURO;LDM;M3;HEIGHT;WIDTH;TONS;REQUIREMENTS;OTHER_COSTS;QTY_LOADS;QTY_DELIVERIES;SOURCE;PAYMENT TERM;DOCUMENTS_BY;CARGO_VALUE_EURO;CUSTOMS;TIME_OF_ENTRY
;;;169.30;;;;;;;;74.00;;;CZ57001;;;;31.03.2021;16:00;31.03.2021;;;;SK82106;;;;01.04.2021;8:00;01.04.2021;8:00;Rigid truck, Articulated truck;REFRIGERATOR;Back;;Other;;;350;13.6;;;;5.999;;;1;1;;;;;;
;;;;;;;;;378.70;;;;;PL66470;;;;01.04.2021;6:00;01.04.2021;;;;PL49318;;;;02.04.2021;2:00;02.04.2021;2:00;Rigid truck, Articulated truck;BOX, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;Other;;;324.4014793;13.6;;;;22;;;1;1;;;;;;
;;;206.10;;;;;;164.40;;;;;CZ69123;;;;02.04.2021;6:00;02.04.2021;;;;PL46043;;;;06.04.2021;6:00;06.04.2021;6:00;Rigid truck, Articulated truck;BOX, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;Other;;;250;13.6;;;;2.3;;;1;1;;;;;;
;;;478.00;;;;;;244.50;;;;;PL98405;;;;06.04.2021;10:00;06.04.2021;;;;CZ39002;;;;07.08.2021;;08.08.2021;;Rigid truck, Articulated truck;BOX, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;;;;980.456239;13.6;;;;22;;;1;6;;;;;;
;;;382.30;;;;;;136.00;;;;;PL41800;;;;07.04.2021;17:00;07.04.2021;;;;PL41700;;;;08.08.2021;;08.08.2021;;Rigid truck, Articulated truck;BOX, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;;;;550;13.6;;;;22;;;3;3;;;;;;
;;;;242.60;;;;;251.60;;;;;DE06749;;;;08.04.2021;;08.04.2021;;;;PL57500;;;;09.04.2021;;13.04.2021;;Rigid truck, Articulated truck;TAUTLINER, MEGA, CURTAIN;Back;;;;;350;13.6;;;;24;;;1;1;;;;;;
;;;;28.60;;;;;473.60;;;;;DE15890;;;;08.04.2021;;08.04.2021;;;;PL00001;;;;09.04.2021;;09.04.2021;;Rigid truck, Articulated truck;CURTAIN;Back;;;;;400;13.6;;;;24;;;1;1;;;;;;
;;;;233.80;;;;;328.70;;;;;DE07545;;;;08.04.2021;;08.04.2021;;;;PL41700;;;;09.04.2021;;09.04.2021;22:00;Articulated truck;REFRIGERATOR, CURTAIN;Back;;;;;700;13.6;;;;10;;;1;1;;;;;;
;;;;640.30;;;;;397.80;;;;;DE44787;;;;08.04.2021;;08.04.2021;;;;PL43300;;;;08.04.2021;;08.04.2021;;Rigid truck, Articulated truck;CURTAIN;Back;;;;;1400;13.6;;;;24;;;1;1;;;;;;
;;;;353.40;;;;;380.50;;;;;DE99755;;;;08.04.2021;;08.04.2021;;;;PL43410;;;;09.04.2021;;09.04.2021;;Rigid truck, Articulated truck;CURTAIN;Back;;;;;550;13.6;;;;10;;;1;1;;;;;;
;;;146.10;141.40;;;;;;;;;;CZ25163;;;;08.04.2021;;08.04.2021;;;;DE04347;;;;09.04.2021;;09.04.2021;;Rigid truck, Articulated truck;BOX, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;;;;380;13.6;;;;15;;;1;1;;;;;;
;;;;;;;;;682.10;107.70;;;;PL43150;;;;09.04.2021;20:00;09.04.2021;;;;SE26538;;;;12.04.2021;8:00;12.04.2021;8:00;Rigid truck, Articulated truck;REFRIGERATOR;Back;;;;;1570;13.6;;;;22.5;;-298;1;1;;;;;;
;;;381.00;81.50;;;;;;;131.30;;;DE01623;;;;09.04.2021;;09.04.2021;;;;SK92601;;;;12.04.2021;6:00;12.04.2021;12:00;Rigid truck, Articulated truck;REFRIGERATOR;Back;;;;;600;13.6;;;;21.75;;;1;1;;;;;;
;;;;686.60;;;;;36.40;;;;;PL59800;;;;09.04.2021;;09.04.2021;;;;DE53881;;;;12.04.2021;;13.04.2021;;Rigid truck, Articulated truck;THERMO, CURTAIN;Back;;;;;750;13.6;;;;18;;;1;1;;;;;;
;;;;620.80;;;;;174.10;;;;;PL67100;;;;09.04.2021;;10.04.2021;;;;DE86470;;;;12.04.2021;;12.04.2021;;Rigid truck, Articulated truck;THERMO, TAUTLINER, REFRIGERATOR, CURTAIN;Back;;;;;850;13.6;;;;15;;;1;1;;;;;;
;;;;586.40;;;;;339.10;;;;;DE64283;;;;09.04.2021;;09.04.2021;;;;PL40001;;;;12.04.2021;;12.04.2021;;Rigid truck, Articulated truck;THERMO, REFRIGERATOR, CURTAIN;Back;;;;;700;13.6;;;;20;;;1;1;;;;;;
;;;;391.70;;;;;365.00;;;;;DE38685;;;;09.04.2021;;09.04.2021;;;;PL41100;;;;12.04.2021;;12.04.2021;;Rigid truck, Articulated truck;CURTAIN;Back;;;;;500;13.6;;;;24;;;1;1;;;;;;
;;;;615.90;;;;;178.30;;;;;PL62023;;;;09.04.2021;;09.04.2021;;;;DE94315;;;;13.04.2021;;13.04.2021;;Rigid truck, Articulated truck;THERMO, CURTAIN;Back;;;;;820;13.6;;;;22;;;1;1;;;;;;
;;;;469.40;;;;;174.10;;;;;PL67100;;;;09.04.2021;;10.04.2021;;;;DE97199;;;;12.04.2021;;12.04.2021;;Rigid truck, Articulated truck;THERMO, TAUTLINER, REFRIGERATOR, CURTAIN;Back;;;;;700;13.6;;;;15;;;1;1;;;;;;
;;;;571.60;;;;;279.80;;;;;DE26954;;;;09.04.2021;14:30;09.04.2021;14:30;;;PL47316;;;;12.04.2021;8:00;13.04.2021;16:00;Rigid truck, Articulated truck;CURTAIN;Back;;;;;800;13.6;;;;24.7;;;1;1;;;;;;
;;;70.20;;;;;;167.90;;188.30;;;SK90301;;;;12.04.2021;8:00;12.04.2021;;;;PL42224;;;;13.04.2021;8:00;13.04.2021;15:00;Rigid truck, Articulated truck;BOX, COIL TROUGH, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;;;;240;13.6;;;;15;;;1;1;;;;;;
;;;;;;;;;594.30;;;;;PL72300;;;;12.04.2021;8:00;13.04.2021;;;;PL87400;;;;14.04.2021;;14.04.2021;;Rigid truck, Articulated truck;REFRIGERATOR;Back;;;;;450;13.6;;;;22.5;;;1;3;;;;;;
;;;;495.30;;;;;178.30;;;;;PL62023;;;;12.04.2021;;12.04.2021;;;;DE91330;;;;13.04.2021;;13.04.2021;;Rigid truck, Articulated truck;THERMO, CURTAIN;Back;;;;;820;13.6;;;;22;;;1;1;;;;;;
;;;;299.60;;;;;;;;;;DE33106;;;;12.04.2021;;12.04.2021;;;;DE97318;;;;12.04.2021;;12.04.2021;;Articulated truck;FLATBED TRUCK;Back;;;;;600;13.6;;;;10.57;;;1;1;;;;;;
;;;38.70;;;;;;282.90;;;;;PL42512;;;;13.04.2021;12:00;13.04.2021;;;;CZ50312;;;;14.04.2021;7:00;14.04.2021;7:00;Rigid truck, Articulated truck;REFRIGERATOR;Back;;;;;425;13.6;;;;10;;;1;1;;;;;;
;;;;518.80;;;;;351.10;;;;;DE74423;;;;14.04.2021;;14.04.2021;;;;PL41200;;;;15.04.2021;;15.04.2021;;Rigid truck, Articulated truck;CURTAIN;Back;;;;;550;13.6;;;;22;;;1;1;;;;;;
;;;168.90;;;;;;;;75.00;;;CZ56802;;;;14.04.2021;;14.04.2021;;;;SK83103;;;;15.04.2021;6:30;15.04.2021;7:00;Rigid truck, Articulated truck;BOX, COIL TROUGH, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;;;;330;13.6;;;;15;;;1;1;;;;;;
;;;203.30;;;;;;32.50;;;;;CZ69701;;;;15.04.2021;;15.04.2021;;;;PL44240;;;;16.04.2021;;16.04.2021;;Rigid truck, Articulated truck;BOX, COIL TROUGH, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;;;;164.6469968;13.6;;;;22;;;1;1;;;;;;
;;;70.70;;;;;;338.20;;140.80;;;PL99300;;;;15.04.2021;10:00;15.04.2021;;;;SK03101;;;;16.04.2021;8:00;16.04.2021;15:30;Rigid truck, Articulated truck;REFRIGERATOR;Back;;;;;650;13.6;;;;22;;;1;1;;;;;;
;;;;;;;;;25.00;;;;;PL44240;;;;16.04.2021;;16.04.2021;;;;PL43215;;;;16.04.2021;;16.04.2021;;Rigid truck, Articulated truck;BOX, COIL TROUGH, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;;;;54.88233228;13.6;;;;22;;;1;1;;;;;;
